Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
2008,NJN,Malik Allen,29,48,763,10.1,0.489,0.008,0.05,6.4,13.1,9.7,6.8,1,2.1,10.7,17.9,0.4
2008,PHO,Marcus Banks,26,24,310,10.1,0.539,0.596,0.147,1.2,5.7,3.6,11.3,1.3,1.7,12.1,19.1,0.3
2008,WAS,Mike Wilks,28,4,44,10.1,0.625,0.5,0,2.6,13.7,8,9.7,3.7,0,20,5.2,0.1
2009,CLE,Daniel Gibson,22,75,1795,10.1,0.519,0.537,0.163,2.1,7.9,5.1,11.3,1.3,0.7,9.7,16.5,3.8
2009,LAC,Mike Taylor,23,51,771,10.1,0.477,0.15,0.303,3.2,10,6.5,22.9,2.4,0,19.4,22.2,-0.4
2009,MIL,Joe Alexander,22,59,716,10.1,0.494,0.188,0.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,0.4
2009,WAS,Etan Thomas,30,26,306,10.1,0.525,0,0.348,9.3,16.2,12.7,3,0.5,4.8,19.1,14,0.1
2010,HOU,Jared Jeffries,28,18,332,10.1,0.459,0.107,0.321,10.3,12.2,11.2,8.1,1.4,2.9,12.7,14.6,0.4
2011,WAS,Yi Jianlian,23,63,1112,10.1,0.459,0.037,0.262,7.8,18,12.7,3.5,1.2,2.2,11.6,17.4,0.4
2011,TOR,Linas Kleiza,26,39,1032,10.1,0.502,0.323,0.16,4.1,16.5,10.2,6.2,1,0.5,13,21.7,-0.3
2011,PHI,Andres Nocioni,31,54,931,10.1,0.538,0.426,0.22,2.4,18.6,10.5,7.4,0.8,1.2,13.4,17.4,1.3
2011,NJN,Damion James,23,25,403,10.1,0.477,0.029,0.272,4.8,20.5,12.5,8.1,2.1,2.3,17.8,16.2,0.1
2011,OKC,D.J. White,24,23,219,10.1,0.468,0,0.154,6.6,20.7,13.9,2.9,1.4,2.7,9.2,15.8,0.3
2011,BOS,Troy Murphy,30,17,178,10.1,0.503,0.263,0.342,8.1,17.6,13.1,5,2.4,0.4,13.8,13.7,0.4
2011,ATL,Hilton Armstrong,26,12,76,10.1,0.457,0.083,0.833,4.8,22,13.5,7.8,2.1,5,15.5,12.1,0.1
2011,MIN,Maurice Ager,26,4,29,10.1,0.682,0.364,0,0,7.9,3.8,6,1.7,0,26.7,22,0
2012,NOH,Lance Thomas,23,42,630,10.1,0.541,0.008,0.492,9.4,14.3,11.9,3,0.9,0.9,13.5,13.3,1.2
2012,UTA,DeMarre Carroll,25,20,327,10.1,0.448,0.192,0.162,9.7,7.8,8.8,6.9,1.9,0.2,7.8,15.8,0.4
